"ISO3","Year","City","Longitude","Latitude","PM25","urban"
2,2019,"Jacksonville",-81.63398,30.1358,6.626891,0
2,2019,"Charleston",-81.62116,38.34626,6.986555,1
2,2019,"Jacksonville",-81.60683,30.26278,8.622384,0
2,2019,"Cleveland",-81.57526,41.55523,7.060331,1
2,2019,"Parkersburg",-81.55237,39.32353,7.771698,0
2,2019,"Jacksonville",-81.54778,30.35472,6.776695,0
2,2019,"Akron",-81.46896,41.06353,8.353002,0
2,2019,"Hickory",-81.36556,35.72889,8.300278,0
2,2019,"Winter Park",-81.3625,28.59639,6.527299,1
2,2019,"Lake Mary",-81.31056,28.74611,6.268447,0
2,2019,"Painesville",-81.24216,41.72681,6.518333,1
2,2019,"Ravenna",-81.2352,41.1644,7.515238,1
2,2019,"Columbia",-81.15495,34.05102,8.174336,0
2,2019,"Daytona Beach",-81.0525,29.20667,7.494895,0
2,2019,"Columbia",-80.9623,34.09396,7.645113,0
2,2016,"Charlotte",-80.88865,35.3041,8.700847,1
2,2017,"Charlotte",-80.86698,35.15128,8.292455,1
2,2019,"Warren",-80.80116,41.23172,7.855177,1
2,2019,"Charlotte",-80.78568,35.2401,8.339823,1
2,2019,"Shadyside",-80.7464,39.9679,8.658065,1
2,2019,"Moundsville",-80.73386,39.91596,9.224576,0
2,2019,"Overbrook",-80.70097,40.11488,8.102542,1
2,2019,"Youngstown",-80.64528,41.11111,7.483333,1
2,2018,"Melbourne",-80.62861,28.05361,5.423529,1
2,2019,"Weirton",-80.61181,40.39465,9.437504,0
2,2019,"Follansbee",-80.59664,40.34102,9.486441,0
2,2018,"Weirton",-80.59232,40.42737,7.828333,0
2,2019,"Farrell",-80.48478,41.21501,7.995822,1
2,2019,"Homestead",-80.48278,25.47194,6.595726,0
2,2019,"Paris",-80.42083,40.44528,8.965951,0
2,2019,"LAUREL PARK",-80.34225,39.27812,7.27027,1
2,2019,"Miami Gardens",-80.32639,25.94194,6.361739,0
2,2019,"Beaver Falls",-80.31644,40.7478,9.457685,1
2,2019,"Waynesburg",-80.26567,39.80933,6.413603,0
2,2017,"Washington",-80.26139,40.17056,8.166071,0
2,2019,"Davie",-80.25694,26.05389,6.415443,0
2,2019,"Miami",-80.21556,25.79422,7.267218,1
2,2019,"Patrick",-80.19879,34.61537,7.121698,0
2,2019,"Coconut Creek",-80.17639,26.29417,6.883036,0
2,2019,"McDonald",-80.16994,40.37564,7.671304,0
2,2019,"Pleasant Valley",-80.13467,39.48148,7.621212,1
2,2019,"Delray Beach",-80.09278,26.45694,5.930357,1
2,2019,"Salem",-80.08102,37.29788,6.670339,0
2,2019,"Avalon",-80.07134,40.49977,9.267959,0
2,2019,"North Charleston",-80.06501,32.98025,7.069304,0
2,2019,"Erie",-80.03861,42.14175,7.502711,0
2,2019,"McCandless",-80.02167,40.60662,6.813793,0
2,2019,"Pittsburgh",-79.96076,40.46542,9.841876,0
2,2019,"Charleston",-79.95869,32.79098,6.93697,1
2,2019,"Morgantown",-79.92087,39.64937,7.198246,0
2,2019,"North Charleroi",-79.90222,40.14667,7.175528,0
2,2019,"Clairton",-79.88533,40.29434,7.891379,0
2,2019,"Vinton",-79.88452,37.28342,6.32521,0
2,2019,"McKeesport",-79.86806,40.32377,12.80269,0
2,2019,"Pittsburgh",-79.86357,40.43743,10.81813,0
2,2019,"Rankin",-79.86097,40.40233,9.875,0
2,2019,"Florence",-79.76735,34.21426,7.714407,0
2,2019,"San Jose",-121.8949,37.3485,8.481184,1
2,2019,"Natrona Heights",-79.72766,40.61749,8.633913,0
2,2019,"Kittanning",-79.56475,40.81418,7.69209,0
2,2019,"Greensburg",-79.50567,40.30469,6.959118,0
2,2019,"Van Buren Bay",-79.31881,42.49963,5.929565,1
2,2019,"Lynchburg",-79.21501,37.33271,6.307407,0
2,2019,"Midland",-79.012,39.70595,5.573034,0
2,2019,"Fayetteville",-78.95311,35.04142,7.599276,1
2,2017,"Johnstown",-78.915,40.30972,11.77237,1
2,2019,"Durham",-78.90404,36.03296,7.676927,0
2,2019,"Harrisonburg",-78.81952,38.47753,7.061983,0
2,2019,"Buffalo",-78.80953,42.87691,7.031304,1
2,2019,"Buffalo",-78.77153,42.99328,6.099166,0
2,2019,"Cheektowaga",-78.76583,42.92111,7.053153,1
2,2019,"Raleigh",-78.57417,35.85611,8.872785,0
2,2019,"Charlottesville",-78.50397,38.07657,6.393103,0
2,2019,"Altoona",-78.37083,40.53528,9.358306,0
2,2019,"Clear Brook",-78.08157,39.28102,7.27835,0
2,2019,"Martinsburg",-77.96385,39.4481,8.833913,0
2,2019,"State College",-77.87703,40.81139,9.822099,0
2,2019,"Castle Hayne",-77.83861,34.36417,3.840129,0
